Year,State,State_Name,Percent_Adults,LowCI,HighCI,Sample_Size,Age,Education,Gender,Income,Race,Category,Sub_Category,status,Region
2013,US,National,35.3,34.8,35.8,133402.0,,High school graduate,,,,Education,High school graduate,Overweight,Other
2014,US,National,35.2,34.2,36.2,39123.0,,,,"Less than $15,000",,Income,"Less than $15,000",Obese,Other
2015,US,National,29.9,29.0,30.8,47545.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Physical Training,Other
2012,US,National,29.7,27.6,31.9,8459.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Obese,Other
2015,US,National,32.8,32.0,33.5,60962.0,,,,Data not reported,,Income,Data not reported,Overweight,Other
2014,US,National,38.9,37.9,39.8,32434.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Obese,Other
2015,US,National,30.2,29.6,30.7,103058.0,,High school graduate,,,,Education,High school graduate,Very Active,Other
2011,US,National,29.9,29.2,30.6,60254.0,35 - 44,,,,,Age (years),35 - 44,Obese,Other
2014,US,National,34.2,33.2,35.2,32260.0,,Less than high school,,,,Education,Less than high school,Overweight,Other
2015,US,National,26.8,26.2,27.4,63677.0,45 - 54,,,,,Age (years),45 - 54,Physical Training,Other
2015,US,National,34.9,34.4,35.5,110951.0,,High school graduate,,,,Education,High school graduate,Overweight,Other
2016,US,National,32.0,31.2,32.8,54639.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Obese,Other
2015,US,National,36.0,33.6,38.5,6040.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Obese,Other
2013,US,National,34.9,34.0,35.9,36815.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Overweight,Other
2017,US,National,25.6,24.5,26.7,31321.0,,,,"Less than $15,000",,Income,"Less than $15,000",Very Active,Other
2014,US,National,32.2,30.3,34.2,8036.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Overweight,Other
2014,US,National,9.4,8.2,10.8,7813.0,,,,,Asian,Race/Ethnicity,Asian,Obese,Other
2015,US,National,34.0,33.3,34.7,64418.0,45 - 54,,,,,Age (years),45 - 54,Obese,Other
2015,US,National,15.9,15.2,16.5,50080.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Active and Physical Training,Other
2013,US,National,34.9,32.4,37.4,7291.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Obese,Other
2011,US,National,32.6,32.0,33.2,107279.0,55 - 64,,,,,Age (years),55 - 64,Obese,Other
2011,US,National,29.7,29.2,30.2,138994.0,,High school graduate,,,,Education,High school graduate,Obese,Other
2015,US,National,48.5,47.6,49.3,43687.0,35 - 44,,,,,Age (years),35 - 44,Active,Other
2011,US,National,30.3,28.2,32.6,8412.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Obese,Other
2015,US,National,39.1,38.6,39.6,141064.0,65 or older,,,,,Age (years),65 or older,Overweight,Other
2011,US,National,25.3,24.9,25.7,151776.0,65 or older,,,,,Age (years),65 or older,Obese,Other
2012,US,National,35.7,35.4,36.0,442230.0,,,,,,Total,Total,Overweight,Other
2012,US,National,28.7,28.1,29.2,120032.0,,Some college or technical school,,,,Education,Some college or technical school,Obese,Other
2015,US,National,17.0,16.5,17.5,85255.0,55 - 64,,,,,Age (years),55 - 64,Active and Physical Training,Other
2015,US,National,30.1,29.7,30.5,218332.0,,,Female,,,Gender,Female,Very Active,Other
2016,US,National,28.3,27.7,28.9,105374.0,55 - 64,,,,,Age (years),55 - 64,Inactive,Other
2012,US,National,25.8,21.0,31.4,950.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Obese,Other
2015,US,National,20.9,20.6,21.2,296471.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Active and Physical Training,Other
2015,US,National,28.1,27.4,28.8,62994.0,,,,Data not reported,,Income,Data not reported,Physical Training,Other
2013,US,National,30.6,28.6,32.6,8394.0,,,,,Asian,Race/Ethnicity,Asian,Overweight,Other
2015,US,National,22.6,21.6,23.5,31931.0,,,,"Less than $15,000",,Income,"Less than $15,000",Physical Training,Other
2015,US,National,33.5,33.2,33.9,297412.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Very Active,Other
2015,US,National,30.6,29.7,31.6,26410.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Inactive,Other
2016,US,National,26.5,24.7,28.5,7211.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Inactive,Other
2012,US,National,38.1,37.5,38.8,96513.0,55 - 64,,,,,Age (years),55 - 64,Overweight,Other
2013,US,National,34.1,33.2,35.1,37398.0,,Less than high school,,,,Education,Less than high school,Obese,Other
2015,US,National,25.2,24.3,26.1,21539.0,18 - 24,,,,,Age (years),18 - 24,Overweight,Other
2015,US,National,49.5,48.8,50.3,62039.0,45 - 54,,,,,Age (years),45 - 54,Active,Other
2015,US,National,17.0,16.5,17.4,102491.0,,High school graduate,,,,Education,High school graduate,Active and Physical Training,Other
2011,US,National,39.5,39.0,39.9,151748.0,65 or older,,,,,Age (years),65 or older,Overweight,Other
2014,US,National,25.8,22.2,29.7,1835.0,,,,,Other,Race/Ethnicity,Other,Obese,Other
2014,US,National,32.1,31.4,32.9,49240.0,35 - 44,,,,,Age (years),35 - 44,Obese,Other
2015,US,National,58.9,58.4,59.5,106021.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Active,Other
2014,US,National,32.7,28.9,36.7,1835.0,,,,,Other,Race/Ethnicity,Other,Overweight,Other
2015,US,National,38.9,38.3,39.4,109789.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Overweight,Other
2012,US,National,9.7,8.5,11.2,8252.0,,,,,Asian,Race/Ethnicity,Asian,Obese,Other
2015,US,National,48.4,47.6,49.2,58968.0,,,,Data not reported,,Income,Data not reported,Active,Other
2012,US,National,29.6,29.2,30.0,257190.0,,,Female,,,Gender,Female,Overweight,Other
2012,US,National,33.9,33.2,34.7,69410.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Overweight,Other
2015,US,National,35.1,34.6,35.5,164757.0,,,Male,,,Gender,Male,Physical Training,Other
2011,US,National,35.3,34.4,36.3,41011.0,,Less than high school,,,,Education,Less than high school,Overweight,Other
2015,US,National,20.3,18.7,22.0,7694.0,,,,,Asian,Race/Ethnicity,Asian,Active and Physical Training,Other
2018,US,National,24.2,24.0,24.5,430259.0,,,,,,Total,Total,Inactive,Other
2018,US,National,36.2,35.4,37.0,60363.0,45 - 54,,,,,Age (years),45 - 54,Overweight,Other
2018,US,National,32.7,31.7,33.6,46643.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Obese,Other
2018,US,National,21.9,21.4,22.3,118147.0,,Some college or technical school,,,,Education,Some college or technical school,Inactive,Other
2012,US,National,33.3,32.7,33.9,96513.0,55 - 64,,,,,Age (years),55 - 64,Obese,Other
2018,US,National,33.4,32.4,34.4,32628.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Overweight,Other
2015,US,National,38.6,38.0,39.3,88587.0,55 - 64,,,,,Age (years),55 - 64,Overweight,Other
2012,US,National,33.1,30.9,35.3,8459.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Overweight,Other
2018,US,National,25.1,24.3,25.8,66509.0,45 - 54,,,,,Age (years),45 - 54,Inactive,Other
2018,US,National,39.1,36.2,42.0,6937.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Obese,Other
2015,US,National,34.8,33.8,35.8,33296.0,,,,"Less than $15,000",,Income,"Less than $15,000",Obese,Other
2018,US,National,29.9,29.6,30.2,302781.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Obese,Other
2015,US,National,10.2,9.0,11.4,8324.0,,,,,Asian,Race/Ethnicity,Asian,Obese,Other
2016,US,National,31.8,29.5,34.2,8622.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Overweight,Other
2018,US,National,20.0,16.5,24.0,1480.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Inactive,Other
2018,US,National,35.6,34.8,36.4,55168.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Overweight,Other
2018,US,National,36.5,36.0,37.0,150949.0,,College graduate,,,,Education,College graduate,Overweight,Other
2018,US,National,29.0,26.4,31.7,7532.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Inactive,Other
2014,US,National,28.9,28.6,29.2,425875.0,,,,,,Total,Total,Obese,Other
2018,US,National,35.3,34.4,36.1,56447.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Inactive,Other
2018,US,National,33.0,32.5,33.6,109407.0,,Some college or technical school,,,,Education,Some college or technical school,Obese,Other
2015,US,National,34.8,33.8,35.8,31217.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Overweight,Other
2018,US,National,34.2,33.1,35.4,27006.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Obese,Other
2015,US,National,12.3,11.6,13.2,26995.0,,Less than high school,,,,Education,Less than high school,Active and Physical Training,Other
2012,US,National,36.0,35.7,36.3,345659.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Overweight,Other
2015,US,National,17.0,16.6,17.5,131712.0,65 or older,,,,,Age (years),65 or older,Active and Physical Training,Other
2018,US,National,26.7,25.9,27.5,57927.0,,,,Data not reported,,Income,Data not reported,Obese,Other
2018,US,National,29.5,29.0,29.9,209072.0,,,Female,,,Gender,Female,Overweight,Other
2018,US,National,22.4,22.1,22.7,324157.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Inactive,Other
2011,US,National,22.8,22.3,23.3,110120.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Obese,Other
2014,US,National,25.1,24.1,26.0,21699.0,18 - 24,,,,,Age (years),18 - 24,Overweight,Other
2011,US,National,28.6,28.1,29.1,127160.0,,Some college or technical school,,,,Education,Some college or technical school,Obese,Other
2015,US,National,28.7,28.0,29.4,64633.0,,,,Data not reported,,Income,Data not reported,Inactive,Other
2015,US,National,37.7,36.7,38.7,31217.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Obese,Other
2015,US,National,51.3,49.2,53.4,7783.0,,,,,Asian,Race/Ethnicity,Asian,Active,Other
2018,US,National,28.9,28.4,29.5,141677.0,65 or older,,,,,Age (years),65 or older,Obese,Other
2013,US,National,36.3,35.5,37.1,55422.0,35 - 44,,,,,Age (years),35 - 44,Overweight,Other
2018,US,National,32.9,32.0,33.8,52704.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Overweight,Other
2018,US,National,21.7,21.3,22.1,194504.0,,,Male,,,Gender,Male,Inactive,Other
2018,US,National,35.8,34.9,36.6,46846.0,35 - 44,,,,,Age (years),35 - 44,Overweight,Other
2017,US,National,11.2,9.8,12.8,8466.0,,,,,Asian,Race/Ethnicity,Asian,Obese,Other
2015,US,National,59.4,58.9,59.9,143919.0,,College graduate,,,,Education,College graduate,Active,Other
2018,US,National,12.6,12.3,13.0,161963.0,,College graduate,,,,Education,College graduate,Inactive,Other
2013,US,National,37.8,37.0,38.5,62562.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Overweight,Other
2015,US,National,31.8,30.8,32.8,29470.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Physical Training,Other
2018,US,National,35.4,34.2,36.5,30647.0,,,,"Less than $15,000",,Income,"Less than $15,000",Obese,Other
2013,US,National,20.9,20.5,21.3,160091.0,,College graduate,,,,Education,College graduate,Obese,Other
2015,US,National,35.7,35.4,36.0,398316.0,,,,,,Total,Total,Overweight,Other
2018,US,National,25.9,24.9,26.9,23314.0,18 - 24,,,,,Age (years),18 - 24,Overweight,Other
2015,US,National,53.9,51.6,56.2,7027.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Active,Other
2018,US,National,28.7,27.8,29.6,35861.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Inactive,Other
2013,US,National,25.8,24.9,26.7,24785.0,18 - 24,,,,,Age (years),18 - 24,Overweight,Other
2018,US,National,33.1,32.6,33.7,107339.0,,High school graduate,,,,Education,High school graduate,Obese,Other
2018,US,National,32.0,30.1,34.0,7856.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Obese,Other
2018,US,National,34.5,33.6,35.3,46846.0,35 - 44,,,,,Age (years),35 - 44,Obese,Other
2015,US,National,29.8,29.4,30.2,221909.0,,,Female,,,Gender,Female,Overweight,Other
2018,US,National,37.6,36.4,38.7,27006.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Overweight,Other
2018,US,National,21.9,21.2,22.7,51468.0,35 - 44,,,,,Age (years),35 - 44,Inactive,Other
2012,US,National,39.5,39.0,40.1,144296.0,65 or older,,,,,Age (years),65 or older,Overweight,Other
2012,US,National,32.9,32.0,33.8,55958.0,,,,Data not reported,,Income,Data not reported,Overweight,Other
2014,US,National,36.5,36.0,36.9,155627.0,,College graduate,,,,Education,College graduate,Overweight,Other
2018,US,National,29.5,28.7,30.4,41186.0,25 - 34,,,,,Age (years),25 - 34,Obese,Other
2015,US,National,31.3,30.8,31.8,139608.0,65 or older,,,,,Age (years),65 or older,Inactive,Other
2011,US,National,29.4,29.1,29.8,278617.0,,,Female,,,Gender,Female,Overweight,Other
2013,US,National,30.0,29.2,30.8,58655.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Obese,Other
2015,US,National,28.9,28.6,29.1,398316.0,,,,,,Total,Total,Obese,Other
2016,US,National,35.1,34.4,35.8,68854.0,45 - 54,,,,,Age (years),45 - 54,Obese,Other
2015,US,National,36.8,36.0,37.6,54950.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Overweight,Other
2018,US,National,37.8,37.2,38.3,117780.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Overweight,Other
2018,US,National,34.6,31.3,37.9,2862.0,,,,,Other,Race/Ethnicity,Other,Overweight,Other
2014,US,National,29.1,23.5,35.3,752.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Obese,Other
2018,US,National,39.7,38.5,40.9,32936.0,,,,"Less than $15,000",,Income,"Less than $15,000",Inactive,Other
2015,US,National,53.4,52.3,54.5,20204.0,18 - 24,,,,,Age (years),18 - 24,Active,Other
2015,US,National,37.2,32.8,41.8,1551.0,,,,,Other,Race/Ethnicity,Other,Very Active,Other
2018,US,National,30.1,28.9,31.3,30647.0,,,,"Less than $15,000",,Income,"Less than $15,000",Overweight,Other
2015,US,National,32.6,32.2,33.0,160524.0,,,Male,,,Gender,Male,Very Active,Other
2013,US,National,26.5,26.0,26.9,152140.0,65 or older,,,,,Age (years),65 or older,Obese,Other
2018,US,National,26.6,26.2,27.0,234694.0,,,Female,,,Gender,Female,Inactive,Other
2012,US,National,25.0,24.1,26.0,22549.0,18 - 24,,,,,Age (years),18 - 24,Overweight,Other
2018,US,National,35.5,34.3,36.7,27552.0,,Less than high school,,,,Education,Less than high school,Overweight,Other
2013,US,National,28.3,27.9,28.7,263276.0,,,Female,,,Gender,Female,Obese,Other
2011,US,National,37.3,36.4,38.3,38116.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Obese,Other
2013,US,National,33.3,32.6,34.0,78259.0,45 - 54,,,,,Age (years),45 - 54,Obese,Other
2018,US,National,27.4,26.9,27.9,117780.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Obese,Other
2015,US,National,37.9,37.4,38.4,146748.0,,College graduate,,,,Education,College graduate,Physical Training,Other
2018,US,National,19.8,19.1,20.5,57676.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Inactive,Other
2012,US,National,38.1,37.0,39.2,26522.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Overweight,Other
2018,US,National,30.0,28.9,31.0,31970.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Inactive,Other
2011,US,National,34.5,33.8,35.2,74022.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Overweight,Other
2018,US,National,32.0,30.1,34.1,8341.0,,,,,Asian,Race/Ethnicity,Asian,Overweight,Other
2011,US,National,21.9,18.9,25.3,2670.0,,,,,Other,Race/Ethnicity,Other,Obese,Other
2018,US,National,33.0,32.2,33.8,41186.0,25 - 34,,,,,Age (years),25 - 34,Overweight,Other
2011,US,National,38.8,37.7,39.8,28873.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Overweight,Other
2018,US,National,22.0,19.4,24.8,3214.0,,,,,Other,Race/Ethnicity,Other,Inactive,Other
2018,US,National,31.9,31.4,32.5,151918.0,65 or older,,,,,Age (years),65 or older,Inactive,Other
2018,US,National,29.4,26.2,32.8,2862.0,,,,,Other,Race/Ethnicity,Other,Obese,Other
2013,US,National,24.4,23.7,25.1,60069.0,,,,Data not reported,,Income,Data not reported,Obese,Other
2015,US,National,22.8,22.1,23.5,54449.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Inactive,Other
2015,US,National,35.8,34.8,36.8,29309.0,,Less than high school,,,,Education,Less than high school,Overweight,Other
2013,US,National,41.7,41.2,42.1,194211.0,,,Male,,,Gender,Male,Overweight,Other
2015,US,National,41.7,40.6,42.9,31128.0,,,,"Less than $15,000",,Income,"Less than $15,000",Active,Other
2014,US,National,30.1,28.2,32.1,8036.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Obese,Other
2018,US,National,35.6,34.7,36.5,52704.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Obese,Other
2018,US,National,38.7,38.1,39.3,141677.0,65 or older,,,,,Age (years),65 or older,Overweight,Other
2012,US,National,32.4,31.7,33.0,78037.0,45 - 54,,,,,Age (years),45 - 54,Obese,Other
2015,US,National,20.0,19.4,20.7,43257.0,35 - 44,,,,,Age (years),35 - 44,Active and Physical Training,Other
2018,US,National,16.1,15.4,16.9,25490.0,18 - 24,,,,,Age (years),18 - 24,Inactive,Other
2013,US,National,34.9,34.3,35.4,125709.0,,Some college or technical school,,,,Education,Some college or technical school,Overweight,Other
2011,US,National,28.7,27.9,29.4,61354.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Obese,Other
2011,US,National,27.4,27.2,27.7,470700.0,,,,,,Total,Total,Obese,Other
2014,US,National,37.2,36.4,37.9,59297.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Overweight,Other
2018,US,National,35.0,33.8,36.1,27552.0,,Less than high school,,,,Education,Less than high school,Obese,Other
2015,US,National,23.0,22.6,23.4,159682.0,,,Male,,,Gender,Male,Active and Physical Training,Other
2015,US,National,21.7,21.3,22.1,148030.0,,College graduate,,,,Education,College graduate,Obese,Other
2018,US,National,36.9,36.1,37.7,60363.0,45 - 54,,,,,Age (years),45 - 54,Obese,Other
2015,US,National,18.5,17.6,19.3,25300.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Active and Physical Training,Other
2015,US,National,35.1,34.6,35.7,109147.0,,Some college or technical school,,,,Education,Some college or technical school,Overweight,Other
2018,US,National,36.0,35.0,37.0,46643.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Overweight,Other
2018,US,National,41.9,40.8,43.0,31612.0,,Less than high school,,,,Education,Less than high school,Inactive,Other
2015,US,National,52.5,51.9,53.1,105337.0,,Some college or technical school,,,,Education,Some college or technical school,Active,Other
2018,US,National,18.1,17.2,18.9,23314.0,18 - 24,,,,,Age (years),18 - 24,Obese,Other
2015,US,National,28.7,27.7,29.6,25955.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Physical Training,Other
2013,US,National,36.9,36.4,37.3,160091.0,,College graduate,,,,Education,College graduate,Overweight,Other
2018,US,National,35.2,30.7,40.0,1377.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Obese,Other
2018,US,National,34.2,33.6,34.8,107339.0,,High school graduate,,,,Education,High school graduate,Overweight,Other
2015,US,National,44.7,43.7,45.8,25613.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Active,Other
2018,US,National,13.0,12.6,13.4,122395.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Inactive,Other
2015,US,National,40.1,39.1,41.1,29082.0,,Less than high school,,,,Education,Less than high school,Inactive,Other
2018,US,National,32.6,31.7,33.4,57927.0,,,,Data not reported,,Income,Data not reported,Overweight,Other
2015,US,National,38.5,31.3,46.2,664.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Active and Physical Training,Other
2018,US,National,25.3,24.4,26.2,49012.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Inactive,Other
2018,US,National,31.3,30.8,31.7,209072.0,,,Female,,,Gender,Female,Obese,Other
2018,US,National,31.0,29.1,33.0,7856.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Overweight,Other
2018,US,National,33.7,32.8,34.5,55168.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Obese,Other
2018,US,National,35.4,30.3,40.9,1377.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Overweight,Other
2015,US,National,20.0,18.5,21.7,8071.0,,,,,Asian,Race/Ethnicity,Asian,Inactive,Other
2018,US,National,27.4,26.7,28.0,89199.0,55 - 64,,,,,Age (years),55 - 64,Inactive,Other
2012,US,National,36.7,36.2,37.1,153786.0,,College graduate,,,,Education,College graduate,Overweight,Other
2018,US,National,30.9,30.6,31.2,396022.0,,,,,,Total,Total,Obese,Other
2015,US,National,41.4,41.0,41.9,176407.0,,,Male,,,Gender,Male,Overweight,Other
2018,US,National,34.2,33.7,34.8,109407.0,,Some college or technical school,,,,Education,Some college or technical school,Overweight,Other
2014,US,National,36.0,35.0,37.0,41727.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Overweight,Other
2015,US,National,33.2,29.3,37.3,1691.0,,,,,Other,Race/Ethnicity,Other,Overweight,Other
2018,US,National,33.2,32.1,34.3,35153.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Obese,Other
2018,US,National,22.1,20.4,24.0,8353.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Inactive,Other
2018,US,National,37.1,36.4,37.8,82636.0,55 - 64,,,,,Age (years),55 - 64,Overweight,Other
2014,US,National,19.5,18.8,20.2,42188.0,25 - 34,,,,,Age (years),25 - 34,Inactive,Other
2018,US,National,18.9,17.4,20.5,9362.0,,,,,Asian,Race/Ethnicity,Asian,Inactive,Other
2018,US,National,19.1,18.4,19.8,45675.0,25 - 34,,,,,Age (years),25 - 34,Inactive,Other
2018,US,National,40.5,40.0,40.9,186217.0,,,Male,,,Gender,Male,Overweight,Other
2018,US,National,35.0,34.7,35.3,396022.0,,,,,,Total,Total,Overweight,Other
2014,US,National,33.4,31.2,35.6,6618.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Obese,Other
2015,US,National,17.7,16.8,18.5,34266.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Active and Physical Training,Other
2014,US,National,35.4,35.1,35.7,336145.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Overweight,Other
2018,US,National,35.0,33.9,36.2,35153.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Overweight,Other
2018,US,National,27.7,27.0,28.4,74662.0,,,,Data not reported,,Income,Data not reported,Inactive,Other
2018,US,National,30.2,29.7,30.8,116993.0,,High school graduate,,,,Education,High school graduate,Inactive,Other
2011,US,National,35.7,35.4,36.0,371552.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Overweight,Other
2018,US,National,24.7,24.3,25.2,150949.0,,College graduate,,,,Education,College graduate,Obese,Other
2015,US,National,30.6,29.8,31.4,48843.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Obese,Other
2018,US,National,39.9,38.9,40.9,32628.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Obese,Other
2015,US,National,39.1,32.2,46.5,669.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Very Active,Other
2018,US,National,30.6,30.1,31.0,186217.0,,,Male,,,Gender,Male,Obese,Other
2018,US,National,35.1,34.7,35.4,302781.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Overweight,Other
